name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,quantity,category,source_url
Gengar (Cosmos Holo),Trick or Trade BOOster Bundle 2024,057/091,Holo Rare,Pokemon,Darkness,130,Stage 2,Darkness / 130 / Stage 2,"Night Gate - Once during your turn, you may switch your Active Pokémon with 1 of your Benched Pokémon.",[DC] Nightmare (100) - Your opponent's Active Pokémon is now Asleep.,,,,Fighting ×2,,1,,no,570271_gengar-cosmos-holo.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2024/gengar-cosmos-holo
Haunter,Trick or Trade BOOster Bundle 2024,103/162,Common,Pokemon,Darkness,90,Stage 1,Darkness / 90 / Stage 1,,[DD] Super Poison Breath (30) - Your opponent’s Active Pokémon is now Poisoned.,,,,Fighting ×2,,1,,no,570361_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2024/haunter
Iron Jugulis,Trick or Trade BOOster Bundle 2024,139/162,Uncommon,Pokemon,Colorless,130,Basic,Colorless / 130 / Basic,"Auto Marshal - If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.",[CCC] Blasting Wind (110),,,,Lightning ×2,Fighting -30,2,,no,570362_iron-jugulis.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2024/iron-jugulis
Okidogi (Cosmos Holo),Trick or Trade BOOster Bundle 2024,111/167,Holo Rare,Pokemon,Fighting,130,Basic,Fighting / 130 / Basic,"Adrena-Power - If this Pokémon has any Darkness Energy attached, it gets +100 HP, and the attacks it uses do 100 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).",[FF] Good Punch (70),,,,Psychic ×2,,2,,no,570569_okidogi-cosmos-holo.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2024/okidogi-cosmos-holo
Sinistcha (Cosmos Holo),Trick or Trade BOOster Bundle 2024,022/167,Holo Rare,Pokemon,Grass,70,Stage 1,Grass / 70 / Stage 1,,[G] Cursed Drop - Put 4 damage counters on your opponent's Pokémon in any way you like.,[G] Spill the Tea (70x) - Discard up to 3 G Energy cards from your Pokémon. This attack does 70 damage for each card you discarded this way.,,,Fire ×2,,1,,no,570462_sinistcha-cosmos-holo.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2024/sinistcha-cosmos-holo
Charmander,XY - Evolutions,9/108,Common,Pokemon,Fire,60,Basic,Fire / 60 / Basic,,[C] Scratch (10),[CR] Ember (30) - Discard a Fire Energy attached to this Pokémon.,,,Water ×2,,1,,no,124022_charmander.jpg,1,collection,https://store.tcgplayer.com/pokemon/xy-evolutions/charmander
Gastly,XY - Evolutions,47/108,Common,Pokemon,Psychic,40,Basic,Psychic / 40 / Basic,,"[P] Little Grudge - During your opponent's next turn, if this Pokémon is Knocked Out by damage from an attack, discard an Energy attached to the Attacking Pokémon.","[CP] Nightmare (20) - Flip a coin. If heads, your opponent's Active Pokémon is now Asleep.",,,Darkness ×2,Fighting -20,1,,no,124061_gastly.jpg,1,collection,https://store.tcgplayer.com/pokemon/xy-evolutions/gastly
Weezing,XY - Fates Collide,28/124,Uncommon,Pokemon,Psychic,110,Stage 1,Psychic / 110 / Stage 1,,"[CC] Balloon Bomb - Flip 2 coins. For each heads, discard 2 cards from the top of your opponent's deck.",[CCP] Thick Liquid (80) - Both Active Pokémon are now Confused and Poisoned.,,,Psychic ×2,,3,,no,117788_weezing.jpg,1,collection,https://store.tcgplayer.com/pokemon/xy-fates-collide/weezing
Gengar Spirit Link,XY - Phantom Forces,95/119,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Your turn does not end if the Pokémon this card is attached to becomes M Gengar-EX.,,,,,,,,,no,94663_gengar-spirit-link.jpg,0,collection,https://store.tcgplayer.com/pokemon/xy-phantom-forces/gengar-spirit-link
Welder (#25 Charizard Stamped),Battle Academy,189/214,Promo,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Attach up to 2 Fire Energy cards from your hand to 1 of your Pokémon. If you do, draw 3 cards. You may play only 1 Supporter card during your turn (before your attack).",,,,,,,,,no,219100_welder-189-214-25-charizard-stamped.jpg,2,deck,https://store.tcgplayer.com/pokemon/battle-academy/welder-189-214-25-charizard-stamped
Boss's Orders [Ghetsis],ME01: Mega Evolution,114/132,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Switch in 1 of your opponent's Benched Pokémon to the Active Spot.,,,,,,,,I,yes,654453_bosss-orders-ghetsis.jpg,10,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/bosss-orders-ghetsis
Lillie's Determination,ME01: Mega Evolution,119/132,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead.",,,,,,,,I,yes,654458_lillies-determination-119-132.jpg,11,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/lillies-determination-119-132
Rare Candy,ME01: Mega Evolution,125/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn.",,,,,,,,I,yes,654464_rare-candy-125-132.jpg,10,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/rare-candy-125-132
Risky Ruins,ME01: Mega Evolution,127/132,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,"Whenever any player puts a Basic non-Darkness Pokémon onto their Bench during their turn, place 2 damage counters on that Pokémon.",,,,,,,,I,yes,654466_risky-ruins.jpg,4,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/risky-ruins
Switch,ME01: Mega Evolution,130/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,Switch your Active Pokémon with 1 of your Benched Pokémon.,,,,,,,,I,yes,654469_switch.jpg,7,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/switch
Ultra Ball,ME01: Mega Evolution,131/132,Common,Pokemon,Trainer - Item,,,Trainer - Item,"You can use this card only if you discard 2 other cards from your hand. Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,I,yes,654470_ultra-ball.jpg,10,deck,https://store.tcgplayer.com/pokemon/me01-mega-evolution/ultra-ball
Dawn,ME02: Phantasmal Flames,087/094,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Search your deck for a Basic Pokémon, a Stage 1 Pokémon, and a Stage 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,I,yes,660414_dawn.jpg,4,deck,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/dawn
Haunter,ME02: Phantasmal Flames,055/094,Uncommon,Pokemon,Darkness,100,Stage 1,Darkness / 100 / Stage 1,,[D] Spooky Shot (40),,,,Fighting ×2,,1,I,yes,660408_haunter-055-094.jpg,2,deck,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/haunter-055-094
Punk Helmet,ME02: Phantasmal Flames,092/094,Uncommon,Pokemon,Trainer - Pokémon Tool,,,Trainer - Pokémon Tool,"If the Darkness Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), place 4 damage counters on the Attacking Pokémon.",,,,,,,,I,yes,660419_punk-helmet.jpg,4,deck,https://store.tcgplayer.com/pokemon/me02-phantasmal-flames/punk-helmet
Gastly,ME03: Perfect Order,048/088,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,"[D] Surprise Attack (30) - Flip a coin. If tails, this attack does nothing.",,,,Fighting ×2,,1,J,yes,684429_gastly.jpg,4,deck,https://store.tcgplayer.com/pokemon/me03-perfect-order/gastly
Gengar,ME03: Perfect Order,050/088,Rare,Pokemon,Darkness,130,Stage 2,Darkness / 130 / Stage 2,"Infinite Shadow - If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, put it into your hand instead of the discard pile. (Discard all attached cards.)",[D] Mind Jack (10+) - This attack does 30 more damage for each of your opponent's Benched Pokémon.,,,,Fighting ×2,,1,J,yes,684431_gengar.jpg,3,deck,https://store.tcgplayer.com/pokemon/me03-perfect-order/gengar
Dark Bell,ME05: Pitch Black,075/084,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Both Active non-Darkness Pokémon are now Confused.,,,,,,,,J,yes,704832_dark-bell-075-084.jpg,2,deck,https://store.tcgplayer.com/pokemon/me05-pitch-black/dark-bell-075-084
Gwynn,ME05: Pitch Black,078/084,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Discard up to 2 Pokémon that don't have a Rule Box from your hand, and draw 3 cards for each card you discarded in this way. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)",,,,,,,,J,yes,704835_gwynn-078-084.jpg,4,deck,https://store.tcgplayer.com/pokemon/me05-pitch-black/gwynn-078-084
Shadowy Darkness Energy,ME05: Pitch Black,083/084,Rare,Pokemon,Energy - Special,,,Energy - Special,"As long as this card is attached to a Pokémon, it provides [D] Energy. As long as the [D] Pokémon this card is attached to is on your Bench, prevent all damage done to it by attacks from your opponent's Pokémon.",,,,,,,,J,yes,704840_shadowy-darkness-energy.jpg,4,deck,https://store.tcgplayer.com/pokemon/me05-pitch-black/shadowy-darkness-energy
Basic Darkness Energy,MEE: Mega Evolution Energies,7,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656269_basic-darkness-energy-007.jpg,38,deck,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-darkness-energy-007
Basic Fire Energy,MEE: Mega Evolution Energies,2,Common,Pokemon,Energy - Basic,,,Energy - Basic,,,,,,,,,,yes,656264_basic-fire-energy-002.jpg,18,deck,https://store.tcgplayer.com/pokemon/mee-mega-evolution-energies/basic-fire-energy-002
Buddy-Buddy Poffin,SV05: Temporal Forces,144/162,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for up to 2 Basic Pokémon with 70 HP or less and put them onto your bench. Then, shuffle your deck.",,,,,,,,H,yes,542659_buddy-buddy-poffin.jpg,9,deck,https://store.tcgplayer.com/pokemon/sv05-temporal-forces/buddy-buddy-poffin
Koffing,SV09: Journey Together,091/159,Common,Pokemon,Darkness,60,Basic,Darkness / 60 / Basic,,[C] Tackle (10),[CD] Suffocating Gas (20),,,Fighting ×2,,1,I,yes,623518_koffing.jpg,3,deck,https://store.tcgplayer.com/pokemon/sv09-journey-together/koffing
Weezing,SV09: Journey Together,092/159,Uncommon,Pokemon,Darkness,130,Stage 1,Darkness / 130 / Stage 1,,[D] Pervasive Gas (30) - Your opponent’s Active Pokémon is now Confused.,"[CD] Crazy Blast (50+) - If this Pokémon used Pervasive Gas during your last turn, this attack does 120 more damage.",,,Fighting ×2,,2,I,yes,623519_weezing.jpg,3,deck,https://store.tcgplayer.com/pokemon/sv09-journey-together/weezing
Nest Ball,SV: Paldean Fates,084/091,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. You may play any number of Item cards during your turn.",,,,,,,,G,no,534446_nest-ball.jpg,7,deck,https://store.tcgplayer.com/pokemon/sv-paldean-fates/nest-ball
Eevee,SV: Prismatic Evolutions,074/131,Common,Pokemon,Colorless,50,Basic,Colorless / 50 / Basic,"Boosted Evolution - As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it.",[CC] Reckless Charge (30) - This Pokémon also does 10 damage to itself.,,,,Fighting ×2,,1,H,yes,610429_eevee.jpg,3,deck,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/eevee
Flareon,SV: Prismatic Evolutions,013/131,Rare,Pokemon,Fire,130,Stage 1,Fire / 130 / Stage 1,,"[R] Destructive Flame (30) - Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.","[RCC] Fighting Blaze (90+) - If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.",,,Water ×2,,2,G,no,610368_flareon.jpg,0,deck,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/flareon
Professor's Research [Professor Oak],SV: Prismatic Evolutions,122/131,Common,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Discard your hand and draw 7 cards.,,,,,,,,G,no,610477_professors-research-professor-oak.jpg,2,deck,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/professors-research-professor-oak
Night Stretcher,SV: Shrouded Fable,061/064,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Put a Pokémon or a Basic Energy card from your discard pile into your hand.,,,,,,,,H,yes,560372_night-stretcher.jpg,10,deck,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/night-stretcher
Evolution Incense,SWSH01: Sword & Shield Base Set,163/202,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Choose an Evolution Pokémon from your deck, reveal it, and put it into your hand. Then, shuffle your deck.",,,,,,,,D,no,208489_evolution-incense.jpg,4,deck,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/evolution-incense
Ordinary Rod,SWSH01: Sword & Shield Base Set,171/202,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Choose 1 or both: • Shuffle up to 2 Pokémon from your discard pile into your deck. • Shuffle up to 2 basic Energy cards from your discard pile into your deck.,,,,,,,,D,no,208500_ordinary-rod.jpg,3,deck,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/ordinary-rod
Sudowoodo,SWSH01: Sword & Shield Base Set,100/202,Uncommon,Pokemon,Fighting,100,Basic,Fighting / 100 / Basic,,[C] Double Draw - Draw 2 cards.,[C] Flail (10x) - This attack does 10 damage for each damage counter on this Pokémon.,,,Grass ×2,,1,D,no,208409_sudowoodo.jpg,2,deck,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/sudowoodo
Charizard,SWSH04: Vivid Voltage,025/185,Rare,Pokemon,Fire,170,Stage 2,Fire / 170 / Stage 2,"Battle Sense - Once during your turn, you may look at the top 3 cards of your deck and put 1 of them into your hand. Discard the other cards.",[RR] Royal Blaze (100+) - This attack does 50 more damage for each Leon in your discard pile.,,,,Water ×2,,3,D,no,226395_charizard.jpg,3,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/charizard
Charmander,SWSH04: Vivid Voltage,023/185,Common,Pokemon,Fire,70,Basic,Fire / 70 / Basic,,[R] Collect - Draw a card.,[RR] Flare (30),,,Water ×2,,1,D,no,226392_charmander.jpg,4,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/charmander
Charmeleon,SWSH04: Vivid Voltage,024/185,Uncommon,Pokemon,Fire,90,Stage 1,Fire / 90 / Stage 1,,[R] Slash (20),[RR] Raging Flames (60) - Discard the top 3 cards of your deck.,,,Water ×2,,2,D,no,226394_charmeleon.jpg,4,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/charmeleon
Leon,SWSH04: Vivid Voltage,154/185,Holo Rare,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"During this turn, your Pokémon's attacks do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).",,,,,,,,D,no,226508_leon.jpg,4,deck,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/leon
Zinnia's Resolve,SWSH07: Evolving Skies,164/203,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,You can play this card only if you discard 2 other cards from your hand. Draw a card for each of your opponent's Pokémon in play.,,,,,,,,E,no,246789_zinnias-resolve.jpg,1,deck,https://store.tcgplayer.com/pokemon/swsh07-evolving-skies/zinnias-resolve
Kindler,SWSH09: Brilliant Stars,143/172,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,You can use this card only if your discard a R Energy card from your hand. Look at the top 7 cards of your deck and put up to 2 of them into your hand. Shuffle the other cards back into your deck.,,,,,,,,F,no,257309_kindler.jpg,2,deck,https://store.tcgplayer.com/pokemon/swsh09-brilliant-stars/kindler
Magma Basin,SWSH09: Brilliant Stars,144/172,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,"Once during each player's turn, that player may attach a Fire Energy card from their discard pile to 1 of their Benched Fire Pokémon. If a player attached Energy to a Pokémon in this way, put 2 damage counters on that Pokémon.",,,,,,,,F,no,257310_magma-basin.jpg,2,deck,https://store.tcgplayer.com/pokemon/swsh09-brilliant-stars/magma-basin
